20250518T082337 | 7E FF 41 03 00 08 FB EB
20250518T082338 | B0 03 00 08 00 44 DF DA
20250518T082338 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082338 | B0 03 01 00 00 58 5E 2D
20250518T082338 | B0 03 00 58 08 D3 00 00 00 00 00 00 00 01 00 00 05 80 00 85 05 68 0B EC 00 62 00 03 00 F0 00 00 00 02 05 38 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 F0 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF A9 C1
20250518T082338 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082339 | C0 03 01 00 00 1E D4 EF
20250518T082339 | F5 03 00 00 00 0B 11 79
20250518T082339 | F0 03 00 08 00 0C D1 2C
20250518T082340 | 7E FF A0 03 00 08 CD D7
20250518T082340 | 7E FF C1 03 00 08 D2 2B
20250518T082340 | 7E FF 41 03 00 08 FB EB
20250518T082340 | B0 03 00 08 00 44 DF DA
20250518T082340 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082341 | B0 03 01 00 00 58 5E 2D
20250518T082341 | B0 03 00 58 08 DF 00 00 00 00 00 00 00 01 00 00 05 83 00 97 05 6B 0B AD 00 62 00 03 00 F0 00 00 00 02 05 3B 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF 0E 69
20250518T082341 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082341 | C0 03 01 00 00 1E D4 EF
20250518T082342 | F5 03 00 00 00 0B 11 79
20250518T082342 | F0 03 00 08 00 0C D1 2C
20250518T082342 | 7E FF A0 03 00 08 CD D7
20250518T082343 | 7E FF C1 03 00 08 D2 2B
20250518T082343 | 7E FF 41 03 00 08 FB EB
20250518T082343 | B0 03 00 08 00 44 DF DA
20250518T082343 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082343 | B0 03 01 00 00 58 5E 2D
20250518T082344 | B0 03 00 58 08 E2 00 00 00 00 00 00 00 01 00 00 05 86 00 9C 05 6D 0B A9 00 62 00 03 00 F0 00 00 00 02 05 3E 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF A0 2D
20250518T082344 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082344 | C0 03 01 00 00 1E D4 EF
20250518T082344 | F5 03 00 00 00 0B 11 79
20250518T082345 | F0 03 00 08 00 0C D1 2C
20250518T082345 | 7E FF A0 03 00 08 CD D7
20250518T082345 | 7E FF C1 03 00 08 D2 2B
20250518T082346 | 7E FF 41 03 00 08 FB EB
20250518T082346 | B0 03 00 08 00 44 DF DA
20250518T082346 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082346 | B0 03 01 00 00 58 5E 2D
20250518T082346 | B0 03 00 58 08 DF 00 00 00 00 00 00 00 01 00 00 05 88 00 9F 05 6F 0B AC 00 62 00 03 00 F0 00 00 00 02 05 3E 00 00 48 A8 00 64 00 64 FF FF 00 00 00 00 00 FA 00 00 00 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 C0 FF FF A5 EC
20250518T082347 | B0 03 00 40 00 26 DE 25 B0 03 00 26 00 03 00 03 00 03 00 01 00 01 00 01 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 64 00 64 D2 C9
20250518T082347 | C0 03 01 00 00 1E D4 EF
20250518T082347 | F5 03 00 00 00 0B 11 79
20250518T082347 | F0 03 00 08 00 0C D1 2C
20250518T082348 | 7E FF A0 03 00 08 CD D7
20250518T082348 | 7E FF C1 03 00 08 D2 2B
20250518T082348 | 7E FF 41 03 00 08 FB EB
20250518T082348 | B0 03 00 08 00 44 DF DA
20250518T082349 | B0 03 00 44 03 01 00 B0 00 00 00 03 00 05 03 E8 04 B0 04 88 06 40 00 1E 00 00 05 8C 05 46 05 8C 00 00 02 58 00 00 05 A0 01 E0 04 C4 05 DC 0D AC 0B B8 00 02 00 01 00 00 00 FF 00 00 00 FF 00 00 00 FF 00 00 00 64 00 FF 39 65
20250518T082349 | B0 03 01 00 00 58 5E 2D
